text,label,score
小猫喜欢吃鲜郎的猫粮，回购了好几次了，买过山姆的也没过京东的，品质相同，小猫都爱吃，现在这一袋又要吃完了，再次回购，特来评价！,好评,5
无限回购的鲜朗烘焙猫粮，真的太适合我家猫了！开袋就是自然肉香，93%动物原料、0肉粉0谷物，低温烘焙颗粒干爽不油腻，从根源改善黑下巴，玻璃胃吃着也不软便。适口性超绝，挑食怪主动干饭，毛发越吃越顺滑，长肉不虚胖，营养好吸收，铲屎官闭眼入不踩雷！,好评,5
我们家俩个猫宝儿，一直吃鲜朗猫粮。禽肉猫粮，兔肉猫粮，鱼肉猫粮，换着吃。一如既往的好猫粮。布偶猫也不软便，非常好。会一直回购，希望保持住品质。。,好评,5
先买了试吃装，三只猫都爱吃，于是下单大包装，昨晚放满碗猫粮，早上只剩几粒了。我家老三是猫瘟后遗症的残疾猫，比较瘦，每天吃两顿罐头也吃不胖，换猫粮试试。,好评,5
咪很喜欢吃。这个味道的吃一阵，会换成深海鱼油那款，吃了很多，只有鲜朗的能让我肉眼看出来猫咪的毛发是亮亮的，再贵也值得了，希望小猫咪们以后可以吃好喝好，没有烦恼,好评,5
家里小猫挺喜欢吃的！两只猫都吃的这个！之前肠道不好一直吃处方粮，结果不长肉，后来搭配这个一块吃，俩小家伙都胖了老多！有活动就给他俩多囤点，蛋白含量高，猫猫也喜欢吃！,好评,5
小猫特别喜欢吃这款猫粮很不错，小猫特别喜欢吃，每次喂食都吃得津津有味。颗粒大小适中，色泽均匀，闻着也没有怪味，性价比高，会回购。,好评,5
先朗烘焙，全期全价猫粮成分，好，营养丰富，猫特别爱吃，一直后来就吃这款，粮，质量是特别好，软硬适中猫吃完嗯嗯非常好健康，也不用提前买京东送货特别快，今天下单，明天就到了,好评,5
鲜朗猫粮真不错，我家猫吃了肠胃明显变好，不再拉稀。颗粒大小合适，适口性佳，猫咪每次都吃得很香，会继续回购。,好评,5
味道非常不错，小猫特别喜欢吃，营养很足，性价比也是非常的高，吃过非常多次了，小猫吃完便便也是很正常，没有拉肚子什么的，挺不错的，力挺，棒,好评,5
鲜朗老品牌，家里冻干猫粮经常购买鲜朗品牌，毛孩子喜欢吃，营养健康，适口性好，希望商家多一些优惠活动，京东送货放心，品质好。价格合适会回购！,好评,5
已经多次回购了，几只猫咪都爱吃，配料表干净卫生，大厂加工放心安心。京东物流也很快，快递员配送服务好。,好评,5
感觉猫对大包装没有试吃装爱吃。,中评,3
家里六个毛孩子🐱都喜欢这款猫粮，吃起来嘎嘎香。2kg包装吃起来新鲜方便，毛孩子不喜欢吃陈粮，这款猫粮吃着放心。,好评,5
鲜郎猫粮真的是国产粮里的宝藏！价格实惠，品质却不输进口粮。我家挑嘴的猫主子居然光盘了，而且便便正常，没有软便。客服态度也很好，有问题都耐心解答，必须五星好评！,好评,5
包装很好，物流很快，大品牌值得信赖。配方安全，对猫咪和人类无害。接触温和，刺激性可控，猫咪能接受。使用方便，期待好的使用效果。,好评,5
在朋友家给猫咪试用了一次，感觉这个产品还不错，特意买来用了一段时间再来评价，目前看效果还真不错，再坚持用一段时间再来追评，只要产品好就值得推荐给朋友们！,好评,5
这款帮邦芙宁宠物耳螨膏已经用了几天了，感觉效果还不错。我准备再买一个，再用几天看一看效果，这个是普安特大品牌的值得信赖，有需要还会继续购买的。,好评,5
家里布偶猫买来后耳朵一直有棕色分泌物，到医院检查并无真菌感染，听从医生建议买了洗耳水和制霉素软膏，定期给猫咪清洗耳朵，干干净净的。,好评,5
这款宠物滴耳液效果特别好，成分温和不刺激，猫咪狗狗用着都不抗拒。清洁力在线，能有效软化耳垢、缓解异味，坚持用耳道干净很多，也不怎么抓挠耳朵了。瓶口设计贴心，好控制用量，性价比高，家里常备很安心，强烈推荐！,好评,5
终于找到温和不刺激的洗耳液！普安特这款pH值7.0，贴近耳道环境。清洁力强、速溶耳垢，用后猫咪不抓耳、不甩头，耳道干爽无异味。独立密封、干净卫生，60ml/120ml可选，赠品丰富。大品牌品质放心，洗澡不影响，每月2-3次超省心。,好评,5
这个猫的耳部护理液非常好用，这款耳部护理液真是猫咪的福音！瓶身设计简洁大方，透明瓶身能看到淡黄色的液体，质地清爽不油腻。用起来很方便，滴几滴在棉签上，轻轻擦拭猫咪的耳朵，瞬间干净又清爽。我家主子用后耳朵再也没异味，真是养猫必备神器！强烈推荐给各位铲屎官！,好评,5
罗安特的宠物猫咪洗耳液，清洁效果显著，软管设计方便，它深入耳道温和，不刺激宠物普遍的也不抗拒。每次使完以后都能很清理出很多的脏东西，真的很好值得购买,好评,5
狗狗第一次使用这款洁耳液，看看后面用一段时间的使用效果看怎么样，好用还会继续回购的。,好评,5
京东物流还是非常棒的。买回来之后就赶紧给猫咪洗了洗耳朵。猫咪耳朵还是会有一些脏，也是应该经常给他洗一洗。希望猫咪干干净净健健康康。,好评,5
刚换的 猫咪很喜欢。就是价格有点小贵。如果价格可以再便宜点就完美了。,中评,3
做活动买的，和10月初的价格差不多，双十一其实没撒特别，甚至会有点贵。最近1年都吃的这个牌子，质量还可以吧，看中的是京东的物流，不然呵呵了。,中评,3
讨厌啊，真讨厌，第一包的时候猫猫还挺爱吃的现在我囤货了，它这几天一口都不吃了，我心烦意乱，真不知道换粮换啥它才爱吃。,中评,3
虽然毛孩子很爱吃，但是发现厂家因为用过期肉被处罚过，心里有些不痛快,中评,3
再次复购的猫粮 冲品牌去的 猫咪吃的也适口 整体还可以 唯一就是购买后几天商家有新活动 打包降价了20元 ～ 未价保成功,中评,3
虽然箱子被认为开了那么大一个口子 但还是用胶带贴上了 怎么说呢 还挺贴心的 养宠人还是敏感一点吧 谁知道对猫粮做了什么,中评,3
猫粮配料表看着还可以，但是猫也就新鲜两天，就没那么爱吃了，颗粒想对与其他家猫粮要大一些，感觉还是小一些好，猫都不咬，直接吞了，其他还行，我过一次便血，之后就没有了，再吃吃看,中评,3
适口性：适口性是很好的，闻起来有鸡肉的香味，猫咪也是很爱吃，一打开袋子就跑过来了！ 颗粒大小：颗粒不大不小，正好合适四五个月的猫咪，家里喂的是蓝白，颗粒比较合适这个年龄段的猫咪！ 便便情况：这个新配方猫咪吃了还是会软便，这个是不好的地方，可能是蛋白太高了，导致猫咪难以接受，一直吃一直软便 毛发亮泽：毛发比较干燥，不知道为啥吃鲜朗就是毛发很干燥，这个实话实话确实吃了鲜朗毛发很干燥！,中评,3
咋的了 到我这包装就环保起来了？？？,中评,3
我家猫吃了容易上火。有泪痕,中评,3
同样的东西，比在其他平台旗舰店都要贵。,中评,3
说不上很好，但是也不能说很差。如果有同等质量的，会选择别家的。,中评,3
第一次在京东买，不晓得是厂家问题还是商家问题，以前我家俩猫是很喜欢鲜朗的这款的，但是这批猫粮我家两猫动都不要动，伤心,中评,3
喂了二十多天了，偶尔会吐，过几天吐一次，就是那种刚吃完就吐了，在考虑要不要换粮,中评,3
也不知道为什么，这次买的猫儿吃一点点就不吃了，饿着都不吃😿😿我以为是碗的问题，换了碗还是不吃,中评,3
这款买了很多次，这次的猫咪不是很爱吃，不如原来的香，不确定是不是换配方了,中评,3
活动价划算，但过了活动涨价太厉害，要188一包，，，就挺离谱的，后面又降了，价格有点起伏太多。但家里猫只吃这个，只能一直回购这个,中评,3
商品确实还可以，但是感觉添加了诱食剂，然后猫咪吃了很容易发胖，另外就是猫咪很喜欢这个味道，然后感觉很好吃，下次还会继续购买吧，但是就是很贵，感觉不值得这个价格，如果价格便宜一点的话，那么我想我会毫不犹豫的购买，保价感觉也不太行,差评,2
吃到一半，里面有毛发，客服说是鸡丝，让我把弄散的给寄过去，我想毛发和鸡丝还是分得清楚的。,差评,2
换了这款猫粮后猫咪出现了胃胀气 异物梗阻的情况 平时猫猫不会乱吃东西 状态也一直都很好 应该是这款猫粮不好消化 所有导致梗阻 加上检查和药物治疗已经花了700多了 我是学生 身上没那么多钱 但还是省下钱想买款贵一点的猫粮给猫猫吃 以为贵的应该会好 没想到却出现这种情况 问了客服 客服说可能是过敏 让我退货退款 也没有说赔偿 猫咪已经陪了我4年了 希望猫咪能够早日康复,差评,2
快递速度也太慢了，迟迟不派送，我家猫差点没猫粮吃,差评,2
这次买的猫粮，家里六只猫，都不爱吃，不知道为啥以前这是他们最喜欢的猫粮，以后不会再买了。,差评,2
物流真的太拉跨了。1月11号下单，1月30号到的。问客服只有机器人回答。猫粮没问题，一直也在买这一款的。,中评,3
猫猫更本不怎么吃，最开始以为是吃的少，后来发现是粮食太大了它嚼起来比较困难，还因为消化不良呕了一次，买之前都问了客服3个月幼猫适不适合，说的是可以吃，真的是不负责,中评,3
先买了400克小包装试吃。猫粮很香。家里三只猫每次吃的光光。前天开了2公斤大包香味很淡。三只猫闻一闻都不吃。这试吃装和正装差距这么大？,差评,2
猫吃了呕吐，以前从来没有这样的情况，再也不敢买了，客服也没说出来个所以然，就说可能是猫自己的吸收问题，我家是橘猫，很好养，以前就没出现过这种问题，哎，自认倒霉,差评,2
猫咪吃了拉稀，只能放弃了,中评,3
小贵，猫子吃了也不长胖,中评,3
网友推荐的，但我家猫不吃，饿急眼了吃完吐酸水,差评,2
猫咪吃了一点点然后吐了一大摊～现在也就闻闻，猫咪不喜欢。,中评,3
新到的颜色跟之前的不一样,差评,2
双十一买的猫粮，双十一刚过就降价，真是把我们消费者当傻子了！！！,中评,3
适口性真的很差,差评,2
这包装猫看了都震惊,差评,2
一般般，家里两只猫都不太爱吃，之前定时出粮器每次出两份粮都能吃完，现在都会剩下一份,中评,3
挺好的，就是有点贵,中评,3
不错不错，次次都买它了，就是越来越贵了希望以后能够便宜点,中评,3
我非常满意我在京东上的购物体验。订单处理非常迅速，包装精美，且物流速度非常快，让我在短时间内就能收到心仪的商品。,中评,3
两只猫都不吃,中评,3
想要换粮的建议多买两份试吃装试一下看自己的猫咪是不是适应，我家铁胃小猫从小随意吃猫粮，在~种草鲜朗，买了试吃装挺爱吃，就是吐了两次，后来试吃装混在其他里边就好了，就没放在心上买了正装，吃了每天吐三四次，问客服说可能不适应让喂益生菌，喂了几天不吐了，又便秘前两天拉屎特别硬的羊屎球，后来直接不拉，又买了乳果糖，灌药灌的痛苦，也可能只是我家猫不适应，但是换粮的话建议多吃几天试吃装，大袋了拆了也不好退浪费,差评,2
家里猫多，近期买了三箱12袋，但感觉最近批次的粮没有之前的好，有一袋粮里面有类似麻绳的异物混在颗粒中，虽然商家给换货了，但还是挺担心的，特别是近期三只猫有两只每天都有很明显的黑眼屎，糟心啊啊啊，到底哪个牌子的猫粮靠谱啊😭😭😭商家提示~8元，~你那8元啊？猫粮做好品控才是王道啊！,差评,2
晚上猫吃了没多久咳了几下（喂食方法没问题 是七日换粮法），凌晨猫想呕又呕不出来声音把我吵醒了。 其次，猫粮成分表和购买的介绍页写的不一样，多了三样东西（覆盆子 、车前子 、菊苣根粉），详情里面才能看到 。查了下，副作用有呕吐。,中评,3
猫咪不爱吃但是打开了又不能退服了,差评,1
猫根本不吃这猫粮 还那么贵,差评,1
猫咪换成这个粮吃了一个月后，每天一吐,差评,1
双十二价格比现在都贵，还得领一堆券,差评,1
吃了这个猫粮一直反反复复长黑下巴,差评,1
猫吃了一直拉稀，还控制不住到处乱拉,差评,1
吃了软便，2只都是的，完全智商税,差评,1
第一次买鲜朗，居然包装袋的密封条都封不好！！！！！,差评,1
这个价位的猫粮，包装袋做的跟闹着玩一样,差评,1
我的猫就吃鲜朗，在这里买的都不吃，怎么一个真？,差评,1
原来吃的幼猫粮，换这个成猫粮软便七天了都没适应过来，我还是用原来的粮两掺的,差评,1
猫咪吃了拉肚子的 便便情况：软便,差评,1
猫咪吃完就吐，别的猫粮一点事也没,差评,1
猫咪吃吐了好几回，联系客服敷衍了事。。。。。,差评,1
买了这个小猫不吃，客服不让退，小猫还吃吐了,差评,1
吃了一半开始呕吐，便便有点稀，慎重考虑！！！,差评,1
吃了那么多款猫粮，只有这款猫粮吃吐了，吃多少吐多少。慎入！,差评,1
猫粮没有私密包装，客服发货前说有私密包装，不建议购买,差评,1
之前吃了两年了，现在一吃就吐，感觉最近批次有问题,差评,1
不知道为什么换了粮一周之后猫咪胃出问题了，不清楚是不是过敏，但是吐酸水这种情况实属不应该，网上查了查这款粮出过不少类似事情，猫已经脱水到去医院打吊瓶了,差评,1
以前吃一点问题没有，这次给猫吃吐了，拉粑粑也不成形,差评,1
猫咪吃了之后真的是又吐、偶尔拉稀、真的不建议大家买了、也不便宜，存粹的浪费了、,差评,1
我家猫吃了他家的猫粮上吐下泻，幼猫感染嗜酸性肉芽肿，这款猫粮不推荐,差评,1
两岁的猫猫以前吃的粮都没有出现呕吐的情况，换了这个粮后，就出现呕吐的情况，开始没有在意，觉得着凉了，第五次吐的时候带去看了宠物医生，认为是猫粮有问题，这猫粮猫猫吃了不消化。大家慎入，小心害死猫猫。,差评,1
还有一半呢，上面的封条坏了，密封不了，质量这么差吗😅,差评,1
家里的🐱第一次吃这款，但吐了好几次，吃其他的猫粮从来没有吐过,差评,1
吃了两年了，这次不知道是不是因为猫粮，天天吐，准备换种试试了,差评,1
配方变了 说是详情有写 我想我一直买的这个我还用多看嘛？肯定直接购买了 我认为应该在快递盒子里加一个小纸片温馨提示一下 我们家吃了吐了 就这样大家谨慎选择吧,差评,1
布偶猫，吃这个有点拉稀，之前吃弗列加特从来没有过，可能不太适合我家猫,差评,1
可能是该批次猫粮存在质量问题，猫咪吃了吐，建议各位毛孩子爸妈暂停喂食并联系品牌方反馈，同时带猫咪就医检查。,差评,1
40 一斤的猫粮 买了这么久了 今年开始连个包装都没有了？就一个快递袋？一直没想评价 连个盒子都舍不得？,差评,1
第一次买他家东西就出现这种问题，就冲着他家品牌跟质量去的，这以后还怎么买,差评,1
吃完几个小时后就开始吐 今天第一次给它尝试吃这个贵一点的猫粮 还是安七天换粮规则放的 没到是这样的情况 前面吃的蓝氏 没有这样的问题 按理说狸花猫应该是很皮实的猫了 都出现了这样的情况,差评,1
我是买了两次的，我家猫咪连着吃了两袋，一斤没长😭😭😭，吃的也不多，看来贵的也不一定适口啊！建议你们还是不要买这个了🙄,差评,1
我家两只猫猫 看了很多成分表 这次选择买了鲜朗的猫粮 因为看营养成分还不错。可是不知道为什么 我家两只猫猫不爱吃这个猫粮！我就只好给兑着罐头和猫条吃。单独的粮就是不爱吃。之前也吃过江小傲 喵樊思 贵芬的猫粮 猫猫都吃的 没有像这个鲜朗这么不喜欢吃。搞不懂为什么猫不爱吃！是假货么,差评,1
因为猫挑食，吃鲜朗吃了快三年了，其他猫粮不爱吃。但最近一周突然一直呕吐，最多一天吐三次，吃了一周药都没好，但精神又很好不像有什么大病的样子。前天偶然发现刚放粮吃完以后没多久就吐（图二），遂测试换了家里另一款品牌冻干，不放鲜朗的粮。现在两天了没见过吐了。不知道是批次有问题还是什么情况，总之评价肯定要写出来让其他人也看看有没有同样情况的。,差评,1
看风评换了这款猫粮 已经有一两年了吧 还是挺好的 两种口味来回来去换着吃 禽肉的颗粒会大一些 鱼肉的颗粒会小一些 总之猫咪都很喜欢 换辆我是直接就换了也没什么问题 就一直在购买这款 就是袋子总被我撕坏 什么高科技啊弄简单一些可还😂😂😂,差评,1
主子6个月金渐层，又挑嘴又玻璃胃😭 这次买了这款猫粮爱吃但软便，换某国产粮便便正常却不吃&hellip;兽医建议找： ✅ 单一肉源+益生菌配方 ✅ 颗粒小（幼猫嘴小） ✅ 不含豆类/谷物 求真实推荐！,差评,1
一次性的屯了4包，因为之前买过一次，我们家三只猫巨爱吃，但是这次囤货并不愉快，拆开第一包，颜色跟之前的不一样了，发黑发油，图片我当时拍了，后面找不到了，给我们家猫吃，我们家猫看了看就走掉了，三只猫都不吃，起初我以为是偶尔一包的问题，于是拆开了第二包，结果是一样的结果，适应了有三天，我们家猫拒食，然后饿到不行了勉强吃了两口，说真的我很气愤也很无语，后面跟售后进行了协商退货，因为有两包没有拆，也还算顺利，还是想要之前那种香香的有点儿烘焙小饼干的味道的鲜朗，那个品质是真好啊，就是我们家猫吃的很开心，但是会有呕吐症状，估计是吃快了,差评,1
避雷，唯一一款吃一次吐一次的猫粮。猫咪2岁，想着给他换换粮，看配量表干净才买的。真的不能试，上个月到货后第一次吃，吐，以为是那段时间身体不好；停了一个月，又换了这个，又吐了。 猫粮从小一直吃的某家六种鱼和鸡，牛肉、自制猫饭、猫罐头都吃的很香，体质一直很好。 适口性：换完新猫粮后，立刻去吃了很多口，同样换完前的六种鱼一点都没有这种欲望，包括换完的也是掺杂一点原粮的，什么原因自己想。 颗粒大小：大，胃口大的猫咪不推荐，容易积食吐。,差评,1
没收到货给我签收了 什么鬼,差评,1
什么垃圾店铺，千万别买，,差评,1
特别差，猫咪吃了一直软便拉肚子,差评,1
猫吃了老是吐 差评差评,差评,1
猫图了很多 ，屁股上也都是屎 哎,差评,1
这是我第一次买猫粮不送试吃装的 差评,差评,1
唯一一款猫咪吃了软便拉稀的猫粮，吃一次拉一次无语死了,差评,1
快递太慢，几天都不到。,差评,1
给客服态度一个差评 问非所答 态度又差 降价25块还不能退,差评,1
这个批次的材料不行，猫不咋吃，品质要保持稳定对于一个四十块钱一斤的猫粮品牌很难吗？,差评,1
太差劲，买回来猫咪吃了一顿就拉稀了，真的太垃圾了，那么多好评到底咋来的？？？？？,差评,1
新配方的鲜朗买回来猫吃了两天。结果不吃了。换了别家的猫粮一顿炫。说是说升级配方。实际上就是节约成本。鲜朗再也不会考虑了！,差评,1
鲜朗这个牌子也可以说是大牌自己家猫也是吃的这个没想到今天给他们喂粮发现这个异物客服说是鸡肝但我复购好多次第一次遇到这种情况我只能说吃完这次就换粮了慎重！！！,差评,1
鲜朗的包装真是做得差劲，第一回买的时候一包正装的包装就破损了，后来申请了退换货。这次买囤货装送了一包赠品完全就是破裂的，你们的包装真的是要改进，五百来块的猫粮连个防震袋都没有。,差评,1
便便情况：拉软便了，真服了，猫吃过几款都不会，这个吃了屎臭还是软便，这么贵吃了还这样，你们写评论的良心不痛？,差评,1
垃圾猫粮，上半年一次买了几袋，一直有软便没怎么在意，那几袋吃完了，上个月又买了一袋，这袋吃了几天直接串稀还有血丝,差评,1
说实话我不想说这家什么，但是我换了猫粮之后两只猫都生病了 跟客服探讨一下她直接说什么是我们家自己猫有问题，让我自己送检有问题他们负责？我猫都要死不活了我哪有心情搞这些，真晦气,差评,1
奇怪了，和以往买的不一样，一点都不香，以往都有香味，猫也不爱吃了，看了看日期也没有过期，能不能不要让复购消费者失望，保证品质啊,差评,1
168的猫粮就给我拿这破袋子装？连个纸箱也不舍得拿出来装一下，这猫粮还配不上拿个纸箱子装一下吗？？之前也在京东买过，包装是纸箱，这次的包装太差太差太差,差评,1
你这个猫粮怎么回事？猫咪吃了每隔几天就要呕吐？平时不怎么爱吃，看着食欲不振，吃完就是几天一次呕吐，差评差评差评，再也不会购买了。,差评,1
刚买就降价，误导消费者，近期想换粮很难，里面怀疑有诱食剂,差评,1
包装很垃圾，拿了一个小破纸盒包，价格也比其他平台贵。要不是麻烦就退了。如果不是官方店铺购买的，这个包装真的很像假货，还好内里没破，最后还是拿了个仆仆的塑料袋装的,差评,1
一直吃鲜朗，每次都要求标注最新日期，这次在京东下单就没要求标注，发现生产日期25年2月10号这批发霉变质，味道熏人，相当可怕，已沟通客服，目前说给换最新日期,差评,1
购买鲜朗猫猫一年多，期间出现过猫粮品质问题，此次购买的猫粮味道和以前完全不同，打开袋子有股非常重的哈喇味，两只猫饿不行了勉强吃点，吃后分别呕吐两次，精神状态不好。鲜朗这么贵的粮，出现这样的问题，十分质疑他家猫粮质量问题，差评！！！！,差评,1
猫粮还行，但是包装实在是太差。之前是魔术贴包装，现在这个非常难用，很容易断裂，然后不能再封口。 以后不会再买了,差评,1
很生气，猫猫吃了最近耳朵特别容易脏，下巴也黑黑的，毛毛不停蹭耳朵，耳廓蹭伤后很快就化脓。以前从没有过这种情况，耳朵和下巴平时都很干净，就这次吃完粮成这样了，非常生气，猫猫最近蔫蔫的，瘦了好多。,差评,1
算好只买了两包，家里两只小猫吃了一包，吃了半个月，这周连续吐了三天。能劝一个是一个，大家快跑。之前买渴望从来没有问题，这回想着省钱没想到省出这后果，十分后悔,差评,1
不解决售后，嚣张得很，因为京东偏袒商家。 吃的各种软便，一天天说猫粮没问题，然而吃的，各种软便，已经拉长了起码半个月的换粮，还软便，垃圾,差评,1
吃了快一个月，从最初呕吐白色口水，到后来慢慢演变成呕吐黄水、未消化猫粮、食糜，此前吃高蛋白猫粮没有这样过，建议谨慎购入,差评,1
第一次购买鲜朗就买了个教训啊！！！本人首先声明 3.31猫粮到家按照7天换粮法操作的 绝对没有直接喂新粮 混着吃好好的 从7号中午开始喂的鲜朗 两只猫吃了就疯狂吐 一直吐 最开始我还以为喂的多了 昨天少喂了点 照样吐 我家猫误食塑料袋都能拉出来 就这样的肠胃 受不了鲜朗的猫粮 想问一下厂家往猫粮里面加啥了 好评全是刷出来的吧！劝一嘴其他铲屎官们 慎买！慎买！慎买！不然 一买一个不吱声！反正我以后不会买鲜朗任何东西了！,差评,1
不好再也不买他们家的了,差评,1
小猫不怎么吃，吃了还拉肚子,差评,1
我家换这个粮一个毛孩子走了一个肠胃炎才好,差评,1
